num_item,base,item,cond_target,bloque,cond_bloque
1,ARO,ARO,0,falsefont,3
2,BAÑO,BANO,0,falsefont,3
3,BESO,BESO,0,falsefont,3
4,BOCA,BOCA,0,falsefont,3
5,BOTA,BOTA,0,falsefont,3
6,BOTE,BOTE,0,falsefont,3
7,CAJA,CAJA,0,falsefont,3
8,CAMA,CAMA,0,falsefont,3
9,CAPA,CAPA,0,falsefont,3
10,CARA,CARA,0,falsefont,3
11,CASA,CASA,0,falsefont,3
12,CENA,CENA,0,falsefont,3
13,CINE,CINE,0,falsefont,3
14,COPA,COPA,0,falsefont,3
15,CUBO,CUBO,0,falsefont,3
16,CUNA,CUNA,0,falsefont,3
17,DADO,DADO,0,falsefont,3
18,DEDO,DEDO,0,falsefont,3
19,FILA,FILA,0,falsefont,3
20,FOCA,FOCA,0,falsefont,3
21,FOTO,FOTO,0,falsefont,3
22,GATO,GATO,0,falsefont,3
23,GOMA,GOMA,0,falsefont,3
24,GOTA,GOTA,0,falsefont,3
25,HUMO,HUMO,0,falsefont,3
26,LAGO,LAGO,0,falsefont,3
27,LANA,LANA,0,falsefont,3
28,LATA,LATA,0,falsefont,3
29,LEÑA,LENA,0,falsefont,3
30,LOBO,LOBO,0,falsefont,3
31,LORO,LORO,0,falsefont,3
32,LUNA,LUNA,0,falsefont,3
33,LUPA,LUPA,0,falsefont,3
34,LUZ,LUZ,0,falsefont,3
35,MAGO,MAGO,0,falsefont,3
36,MANO,MANO,0,falsefont,3
37,MAPA,MAPA,0,falsefont,3
38,MAR,MAR,0,falsefont,3
39,MESA,MESA,0,falsefont,3
40,MONO,MONO,0,falsefont,3
41,MOTO,MOTO,0,falsefont,3
42,NIDO,NIDO,0,falsefont,3
43,NIÑO,NINO,0,falsefont,3
44,NUBE,NUBE,0,falsefont,3
45,OJO,OJO,0,falsefont,3
46,OLA,OLA,0,falsefont,3
47,ORO,ORO,0,falsefont,3
48,OSO,OSO,0,falsefont,3
49,PALA,PALA,0,falsefont,3
50,PALO,PALO,0,falsefont,3
51,PAN,PAN,0,falsefont,3
52,PATO,PATO,0,falsefont,3
53,PELO,PELO,0,falsefont,3
54,PEZ,PEZ,0,falsefont,3
55,PILA,PILA,0,falsefont,3
56,PINO,PINO,0,falsefont,3
57,RAMA,RAMA,0,falsefont,3
58,RAMO,RAMO,0,falsefont,3
59,RANA,RANA,0,falsefont,3
60,RATA,RATA,0,falsefont,3
61,RAYO,RAYO,0,falsefont,3
62,REY,REY,0,falsefont,3
63,ROCA,ROCA,0,falsefont,3
64,ROPA,ROPA,0,falsefont,3
65,ROSA,ROSA,0,falsefont,3
66,SAL,SAL,0,falsefont,3
67,SAPO,SAPO,0,falsefont,3
68,SOL,SOL,0,falsefont,3
69,SOPA,SOPA,0,falsefont,3
70,TAPA,TAPA,0,falsefont,3
71,TAXI,TAXI,0,falsefont,3
72,TAZA,TAZA,0,falsefont,3
73,TELA,TELA,0,falsefont,3
74,TORO,TORO,0,falsefont,3
75,UÑA,UNA,0,falsefont,3
76,UVA,UVA,0,falsefont,3
77,VACA,VACA,0,falsefont,3
78,VASO,VASO,0,falsefont,3
79,VELA,VELA,0,falsefont,3
80,VINO,VINO,0,falsefont,3
