num_item,item,cond_target,bloque,cond_bloque,tipo_pal,frec,frec_ac,num_caract,estr
1,CASA,0,palabra,1,S,472,1775,4,cvcv
2,SOL,0,palabra,1,S,289,577,3,cvc
3,LUNA,0,palabra,1,S,266,159,4,cvcv
4,GATO,0,palabra,1,S,258,140,4,cvcv
5,MAR,0,palabra,1,S,173,443,3,cvc
6,MESA,0,palabra,1,S,159,469,4,cvcv
7,OSO,0,palabra,1,S,135,46,3,vcv
8,PATO,0,palabra,1,S,123,10,4,cvcv
9,ROSA,0,palabra,1,S,123,93,4,cvcv
10,REY,0,palabra,1,S,114,309,3,cvc
11,PELO,0,palabra,1,S,110,305,4,cvcv
12,SOPA,0,palabra,1,S,110,31,4,cvcv
13,VACA,0,palabra,1,S,110,24,4,cvcv
14,NIDO,0,palabra,1,S,107,26,4,cvcv
15,MOTO,0,palabra,1,S,105,20,4,cvcv
16,PAN,0,palabra,1,S,105,138,3,cvc
17,MANO,0,palabra,1,S,104,1099,4,cvcv
18,FOTO,0,palabra,1,S,101,76,4,cvcv
19,CAMA,0,palabra,1,S,100,412,4,cvcv
20,NUBE,0,palabra,1,S,96,50,4,cvcv
21,LOBO,0,palabra,1,S,94,47,4,cvcv
22,SAPO,0,palabra,1,S,91,11,4,cvcv
23,DADO,0,palabra,1,S,88,372,4,cvcv
24,RANA,0,palabra,1,S,86,10,4,cvcv
25,BOTA,0,palabra,1,S,81,9,4,cvcv
26,DEDO,0,palabra,1,S,81,131,4,cvcv
27,CARA,0,palabra,1,S,75,630,4,cvcv
28,VASO,0,palabra,1,S,75,119,4,cvcv
29,OLA,0,palabra,1,S,74,38,3,vcv
30,TAXI,0,palabra,1,S,71,49,4,cvcv
31,BOCA,0,palabra,1,S,70,400,4,cvcv
32,LUZ,0,palabra,1,S,66,892,3,cvc
33,CAJA,0,palabra,1,S,62,120,4,cvcv
34,LUPA,0,palabra,1,S,60,7,4,cvcv
35,CUNA,0,palabra,1,S,58,29,4,cvcv
36,RATA,0,palabra,1,S,58,34,4,cvcv
37,PALA,0,palabra,1,S,57,11,4,cvcv
38,SAL,0,palabra,1,S,56,60,3,cvc
39,MAPA,0,palabra,1,S,56,50,4,cvcv
40,MONO,0,palabra,1,S,56,48,4,cvcv
41,PINO,0,palabra,1,S,56,19,4,cvcv
42,VELA,0,palabra,1,S,56,54,4,cvcv
43,RAMA,0,palabra,1,S,54,50,4,cvcv
44,FOCA,0,palabra,1,S,50,10,4,cvcv
45,ROPA,0,palabra,1,S,49,177,4,cvcv
46,ORO,0,palabra,1,S,48,244,3,vcv
47,PEZ,0,palabra,1,S,47,59,3,cvc
48,LAGO,0,palabra,1,S,47,41,4,cvcv
49,LORO,0,palabra,1,S,47,15,4,cvcv
50,CUBO,0,palabra,1,S,46,26,4,cvcv
51,ALA,0,palabra,1,S,44,36,3,vcv
52,LANA,0,palabra,1,S,42,46,4,cvcv
53,TAZA,0,palabra,1,S,41,46,4,cvcv
54,TELE,0,palabra,1,S,38,52,4,cvcv
55,MAGO,0,palabra,1,S,37,13,4,cvcv
56,GOMA,0,palabra,1,S,36,25,4,cvcv
57,TELA,0,palabra,1,S,36,61,4,cvcv
58,NENA,0,palabra,1,S,35,20,4,cvcv
59,OJO,0,palabra,1,S,35,192,3,vcv
60,PALO,0,palabra,1,S,35,51,4,cvcv
61,COCO,0,palabra,1,S,34,15,4,cvcv
62,UVA,0,palabra,1,S,34,11,3,vcv
63,FILA,0,palabra,1,S,33,55,4,cvcv
64,BESO,0,palabra,1,S,32,76,4,cvcv
65,CINE,0,palabra,1,S,31,435,4,cvcv
66,RAYO,0,palabra,1,S,29,57,4,cvcv
67,PILA,0,palabra,1,S,28,30,4,cvcv
68,ARO,0,palabra,1,S,27,6,3,vcv
69,LATA,0,palabra,1,S,27,23,4,cvcv
70,BOTE,0,palabra,1,S,25,25,4,cvcv
71,CENA,0,palabra,1,S,25,102,4,cvcv
72,COPA,0,palabra,1,S,25,124,4,cvcv
73,RED,0,palabra,1,S,23,98,3,cvc
74,GOTA,0,palabra,1,S,22,47,4,cvcv
75,CAPA,0,palabra,1,S,21,86,4,cvcv
76,TORO,0,palabra,1,S,18,32,4,cvcv
77,BICI,0,palabra,1,S,17,1,4,cvcv
78,ROCA,0,palabra,1,S,15,45,4,cvcv
