"num_item","base","item","cod_tipo_estim","tipo_estim","imagen","congruencia","nombreArchivo"
81,"JUGO","JUGO",1,"palabra",1,1,"JUGO"
82,"PIE","PIE",1,"palabra",1,1,"PIE"
83,"PERRO","PERRO",1,"palabra",1,1,"PERRO"
84,"QUESO","QUESO",1,"palabra",1,1,"QUESO"
85,"GLOBO","GLOBO",1,"palabra",1,0,"JUGO"
86,"LAPIZ","LAPIZ",1,"palabra",1,0,"PERRO"
87,"MIEL","MIEL",1,"palabra",1,0,"PIE"
88,"BICI","BICI",1,"palabra",1,0,"FLOR"
89,"FARO","FARO",1,"palabra",1,0,"QUESO"
90,"FLOR","FLOR",1,"palabra",1,1,"FLOR"
81,"JUGO","RUMO",0,"pseudopalabra",0,"NA","NA"
82,"PIE","TIE",0,"pseudopalabra",0,"NA","NA"
83,"PERRO","NERRA",0,"pseudopalabra",0,"NA","NA"
84,"QUESO","QUEGA",0,"pseudopalabra",0,"NA","NA"
85,"GLOBO","BLOTO",0,"pseudopalabra",0,"NA","NA"
86,"LAPIZ","TAFIR",0,"pseudopalabra",0,"NA","NA"
87,"MIEL","DIEL",0,"pseudopalabra",0,"NA","NA"
88,"BICI","RIDI",0,"pseudopalabra",0,"NA","NA"
89,"FARO","GORA",0,"pseudopalabra",0,"NA","NA"
90,"FLOR","CLAB",0,"pseudopalabra",0,"NA","NA"
